Date,Open,High,Low,Close,Volume,Adj Close
2013-01-15,31.27,31.27,31.27,31.27,000,31.27
2013-01-14,30.96,30.96,30.96,30.96,000,30.96
2013-01-11,30.94,30.94,30.94,30.94,000,30.94
2013-01-10,30.99,30.99,30.99,30.99,000,30.99
2013-01-09,30.36,30.36,30.36,30.36,000,30.36
2013-01-08,30.25,30.25,30.25,30.25,000,30.25
2013-01-07,30.40,30.40,30.40,30.40,000,30.40
2013-01-04,30.64,30.64,30.64,30.64,000,30.64
2013-01-03,30.72,30.72,30.72,30.72,000,30.72
2013-01-02,31.49,31.49,31.49,31.49,000,31.49
2012-12-31,30.71,30.71,30.71,30.71,000,30.71
2012-12-28,29.88,29.88,29.88,29.88,000,29.88
2012-12-27,29.98,29.98,29.98,29.98,000,29.98
2012-12-26,29.64,29.64,29.64,29.64,000,29.64
2012-12-24,29.66,29.66,29.66,29.66,000,29.66
2012-12-21,29.55,29.55,29.55,29.55,000,29.55
2012-12-20,29.87,29.87,29.87,29.87,000,29.87
2012-12-19,30.14,30.14,30.14,30.14,000,30.14
2012-12-18,30.34,30.34,30.34,30.34,000,30.34
2012-12-17,30.67,30.67,30.67,30.67,000,30.67
2012-12-14,30.62,30.62,30.62,30.62,000,30.62
2012-12-13,30.36,30.36,30.36,30.36,000,30.36
2012-12-12,31.29,31.29,31.29,31.29,000,31.29
2012-12-11,30.64,30.64,30.64,30.64,000,30.64
2012-12-10,30.81,30.81,30.81,30.81,000,30.81
2012-12-07,30.41,30.41,30.41,30.41,000,30.41
2012-12-06,30.09,30.09,30.09,30.09,000,30.09
2012-12-05,29.98,29.98,29.98,29.98,000,29.98
2012-12-04,30.50,30.50,30.50,30.50,000,30.50
2012-12-03,30.57,30.57,30.57,30.57,000,30.57
2012-11-30,31.59,31.59,31.59,31.59,000,31.59
2012-11-29,31.81,31.81,31.81,31.81,000,31.81
2012-11-28,31.73,31.73,31.73,31.73,000,31.73
2012-11-27,31.65,31.65,31.65,31.65,000,31.65
2012-11-26,32.32,32.32,32.32,32.32,000,32.32
2012-11-23,32.39,32.39,32.39,32.39,000,32.39
2012-11-21,31.99,31.99,31.99,31.99,000,31.99
2012-11-20,31.77,31.77,31.77,31.77,000,31.77
2012-11-19,32.02,32.02,32.02,32.02,000,32.02
2012-11-16,31.17,31.17,31.17,31.17,000,31.17
2012-11-15,30.90,30.90,30.90,30.90,000,30.90
2012-11-14,31.87,31.87,31.87,31.87,000,31.87
2012-11-13,33.25,33.25,33.25,33.25,000,33.25
2012-11-12,33.77,33.77,33.77,33.77,000,33.77
2012-11-09,34.24,34.24,34.24,34.24,000,34.24
2012-11-08,34.62,34.62,34.62,34.62,000,34.62
2012-11-07,34.65,34.65,34.65,34.65,000,34.65
