Date,Open,High,Low,Close,Volume,Adj Close
2013-01-15,10.02,10.02,10.02,10.02,000,10.02
2013-01-14,10.02,10.02,10.02,10.02,000,10.02
2013-01-11,10.01,10.01,10.01,10.01,000,10.01
2013-01-10,10.01,10.01,10.01,10.01,000,10.01
2013-01-09,9.94,9.94,9.94,9.94,000,9.94
2013-01-08,9.92,9.92,9.92,9.92,000,9.92
2013-01-07,9.94,9.94,9.94,9.94,000,9.94
2013-01-04,9.96,9.96,9.96,9.96,000,9.96
2013-01-03,9.93,9.93,9.93,9.93,000,9.93
2013-01-02,9.96,9.96,9.96,9.96,000,9.96
2012-12-31,9.78,9.78,9.78,9.78,000,9.78
2012-12-28,9.67,9.67,9.67,9.67,000,9.67
2012-12-27,9.90,9.90,9.90,9.90,000,9.90
2012-12-26,9.90,9.90,9.90,9.90,000,9.90
2012-12-24,9.92,9.92,9.92,9.92,000,9.92
2012-12-21,9.94,9.94,9.94,9.94,000,9.94
2012-12-20,10.01,10.01,10.01,10.01,000,10.01
2012-12-19,9.98,9.98,9.98,9.98,000,9.98
2012-12-18,10.02,10.02,10.02,10.02,000,10.02
2012-12-17,9.93,9.93,9.93,9.93,000,9.93
2012-12-14,9.87,9.87,9.87,9.87,000,9.87
2012-12-13,9.88,9.88,9.88,9.88,000,9.88
2012-12-12,9.93,9.93,9.93,9.93,000,9.93
2012-12-11,9.92,9.92,9.92,9.92,000,9.92
2012-12-10,9.87,9.87,9.87,9.87,000,9.87
2012-12-07,9.86,9.86,9.86,9.86,000,9.86
2012-12-06,9.85,9.85,9.85,9.85,000,9.85
2012-12-05,9.83,9.83,9.83,9.83,000,9.83
2012-12-04,9.81,9.81,9.81,9.81,000,9.81
2012-12-03,9.82,9.82,9.82,9.82,000,9.82
2012-11-30,9.84,9.84,9.84,9.84,000,9.84
2012-11-29,9.84,9.84,9.84,9.84,000,9.84
2012-11-28,9.79,9.79,9.79,9.79,000,9.79
2012-11-27,9.74,9.74,9.74,9.74,000,9.74
2012-11-26,9.76,9.76,9.76,9.76,000,9.76
2012-11-23,9.78,9.78,9.78,9.78,000,9.78
2012-11-21,9.67,9.67,9.67,9.67,000,9.67
2012-11-20,9.65,9.65,9.65,9.65,000,9.65
2012-11-19,9.63,9.63,9.63,9.63,000,9.63
2012-11-16,9.47,9.47,9.47,9.47,000,9.47
2012-11-15,9.44,9.44,9.44,9.44,000,9.44
2012-11-14,9.47,9.47,9.47,9.47,000,9.47
2012-11-13,9.56,9.56,9.56,9.56,000,9.56
2012-11-12,9.59,9.59,9.59,9.59,000,9.59
2012-11-09,9.59,9.59,9.59,9.59,000,9.59
2012-11-08,9.59,9.59,9.59,9.59,000,9.59
2012-11-07,9.66,9.66,9.66,9.66,000,9.66
2012-11-06,9.82,9.82,9.82,9.82,000,9.82
2012-11-05,9.75,9.75,9.75,9.75,000,9.75
2012-11-02,9.74,9.74,9.74,9.74,000,9.74
2012-11-01,9.83,9.83,9.83,9.83,000,9.83
2012-10-31,9.74,9.74,9.74,9.74,000,9.74
2012-10-26,9.73,9.73,9.73,9.73,000,9.73
2012-10-25,9.75,9.75,9.75,9.75,000,9.75
2012-10-24,9.74,9.74,9.74,9.74,000,9.74
2012-10-23,9.75,9.75,9.75,9.75,000,9.75
2012-10-22,9.87,9.87,9.87,9.87,000,9.87
2012-10-19,9.86,9.86,9.86,9.86,000,9.86
2012-10-18,9.98,9.98,9.98,9.98,000,9.98
2012-10-17,10.00,10.00,10.00,10.00,000,10.00
2012-10-16,9.96,9.96,9.96,9.96,000,9.96
2012-10-15,9.87,9.87,9.87,9.87,000,9.87
2012-10-12,9.82,9.82,9.82,9.82,000,9.82
2012-10-11,9.85,9.85,9.85,9.85,000,9.85
2012-10-10,9.82,9.82,9.82,9.82,000,9.82
2012-10-09,9.87,9.87,9.87,9.87,000,9.87
2012-10-08,9.94,9.94,9.94,9.94,000,9.94
2012-10-05,9.98,9.98,9.98,9.98,000,9.98
2012-10-04,9.99,9.99,9.99,9.99,000,9.99
2012-10-03,9.92,9.92,9.92,9.92,000,9.92
2012-10-02,9.92,9.92,9.92,9.92,000,9.92
2012-10-01,9.91,9.91,9.91,9.91,000,9.91
2012-09-28,9.88,9.88,9.88,9.88,000,9.88
2012-09-27,9.91,9.91,9.91,9.91,000,9.91
2012-09-26,9.82,9.82,9.82,9.82,000,9.82
2012-09-25,9.89,9.89,9.89,9.89,000,9.89
2012-09-24,9.96,9.96,9.96,9.96,000,9.96
2012-09-21,10.00,10.00,10.00,10.00,000,10.00
2012-09-20,9.98,9.98,9.98,9.98,000,9.98
2012-09-19,10.01,10.01,10.01,10.01,000,10.01
2012-09-18,9.99,9.99,9.99,9.99,000,9.99
2012-09-17,10.02,10.02,10.02,10.02,000,10.02
2012-09-14,10.07,10.07,10.07,10.07,000,10.07
2012-09-13,10.00,10.00,10.00,10.00,000,10.00
2012-09-12,9.88,9.88,9.88,9.88,000,9.88
2012-09-11,9.84,9.84,9.84,9.84,000,9.84
2012-09-10,9.80,9.80,9.80,9.80,000,9.80
2012-09-07,9.85,9.85,9.85,9.85,000,9.85
2012-09-06,9.79,9.79,9.79,9.79,000,9.79
2012-09-05,9.63,9.63,9.63,9.63,000,9.63
2012-09-04,9.65,9.65,9.65,9.65,000,9.65
2012-08-31,9.65,9.65,9.65,9.65,000,9.65
2012-08-30,9.60,9.60,9.60,9.60,000,9.60
2012-08-29,9.66,9.66,9.66,9.66,000,9.66
2012-08-28,9.65,9.65,9.65,9.65,000,9.65
