Date,Open,High,Low,Close,Volume,Adj Close
2013-01-15,147.00,147.93,146.93,147.80,4831800,147.80
2013-01-14,147.63,147.80,147.16,147.74,3663800,147.74
2013-01-11,147.79,147.87,147.34,147.87,1771500,147.87
2013-01-10,147.50,147.82,146.70,147.80,3070100,147.80
2013-01-09,146.58,147.05,146.38,146.69,2759100,146.69
2013-01-08,146.44,146.63,145.73,146.30,3973900,146.30
2013-01-07,146.59,146.84,146.16,146.70,1752000,146.70
2013-01-04,146.69,147.34,146.41,147.16,3301800,147.16
2013-01-03,146.70,147.10,146.07,146.44,4482400,146.44
2013-01-02,145.85,146.82,145.46,146.63,4931200,146.63
2012-12-31,140.40,143.26,140.24,143.14,6809200,143.14
2012-12-28,141.37,142.12,140.61,140.64,4738300,140.64
2012-12-27,142.52,142.78,140.62,142.25,4358400,142.25
2012-12-26,143.35,143.41,142.07,142.39,3224000,142.39
2012-12-24,143.23,143.27,142.91,143.06,1836200,143.06
2012-12-21,142.87,143.80,142.65,143.51,5715800,143.51
2012-12-20,144.06,144.83,143.69,144.83,5159000,144.83
2012-12-19,145.25,145.27,143.96,144.03,4959000,144.03
2012-12-18,144.62,146.14,144.41,146.05,5471200,145.12
2012-12-17,143.10,144.44,143.05,144.34,5666900,143.42
2012-12-14,142.94,143.19,142.48,142.76,3204000,141.85
2012-12-13,144.05,144.45,142.89,143.26,4064500,142.35
2012-12-12,144.63,145.16,143.95,144.16,5797400,143.24
2012-12-11,143.69,144.72,143.61,143.96,6741600,143.04
2012-12-10,142.84,143.42,142.75,143.13,9889400,142.22
2012-12-07,143.17,143.27,142.28,143.00,6025500,142.09
2012-12-06,141.99,142.63,141.76,142.50,6309900,141.59
2012-12-05,141.98,142.74,140.96,142.06,4380300,141.16
2012-12-04,142.04,142.45,141.46,141.80,3461700,140.90
2012-12-03,143.41,143.54,141.93,142.04,4010300,141.14
2012-11-30,142.75,143.01,142.25,142.71,2624400,141.80
2012-11-29,142.60,143.11,141.97,142.71,3443200,141.80
2012-11-28,140.33,142.13,139.58,142.01,2919000,141.11
2012-11-27,141.51,141.97,140.81,140.93,1971800,140.03
2012-11-26,141.24,141.78,140.78,141.78,2865900,140.88
2012-11-23,140.73,141.96,140.61,141.83,1789000,140.93
2012-11-21,139.86,140.13,139.62,140.08,4304800,139.19
2012-11-20,139.49,139.98,138.66,139.79,2072600,138.90
2012-11-19,138.47,139.74,138.39,139.74,3735900,138.85
2012-11-16,136.40,137.18,135.25,136.84,4330300,135.97
2012-11-15,136.52,137.04,135.71,136.28,2905500,135.41
2012-11-14,138.80,138.97,136.17,136.58,3405200,135.71
2012-11-13,138.08,139.81,137.93,138.32,2777100,137.44
2012-11-12,139.15,139.38,138.53,138.87,2144200,137.99
2012-11-09,138.19,140.02,138.11,138.60,4112500,137.72
2012-11-08,140.28,140.97,138.53,138.58,6391100,137.70
2012-11-07,142.26,142.26,139.64,140.25,4675900,139.36
2012-11-06,142.87,144.09,142.73,143.51,2637100,142.60
2012-11-05,141.93,142.73,141.50,142.41,1818100,141.50
2012-11-02,144.28,144.28,142.00,142.10,3895300,141.20
2012-11-01,142.23,143.59,142.11,143.46,10818100,142.55
2012-10-31,142.45,142.62,141.25,141.48,4116100,140.58
2012-10-26,141.93,142.41,140.97,141.93,2126200,141.03
2012-10-25,142.62,142.85,141.17,142.02,4366500,141.12
2012-10-24,142.49,142.68,141.38,141.59,2070000,140.69
2012-10-23,142.48,142.63,141.42,141.95,2739700,141.05
2012-10-22,143.76,144.25,142.86,144.02,2758500,143.10
2012-10-19,146.16,146.16,143.64,143.86,2701400,142.94
2012-10-18,146.45,147.13,145.94,146.47,4497700,145.54
2012-10-17,146.26,146.93,146.01,146.78,2008200,145.85
2012-10-16,145.36,146.24,145.25,146.20,2968100,145.27
2012-10-15,143.82,144.81,143.37,144.60,1666600,143.68
2012-10-12,144.04,144.53,143.18,143.41,2120900,142.50
2012-10-11,144.88,145.08,143.95,144.02,2744700,143.10
2012-10-10,144.78,144.89,143.68,143.93,3563300,143.01
2012-10-09,146.12,146.24,144.75,144.84,3065700,143.92
2012-10-08,146.18,146.48,145.92,146.22,995500,145.29
2012-10-05,147.50,147.76,146.31,146.70,2129500,145.77
2012-10-04,146.23,146.92,146.05,146.81,2775700,145.88
2012-10-03,145.51,146.02,144.72,145.66,2433800,144.73
2012-10-02,145.50,145.73,144.43,145.13,2863900,144.21
2012-10-01,145.14,146.29,144.61,144.92,13883000,144.00
2012-09-28,144.69,145.15,144.06,144.40,5039300,143.48
2012-09-27,144.49,145.57,144.10,145.31,2241400,144.38
2012-09-26,144.67,144.70,143.54,143.93,2314700,143.01
2012-09-25,146.58,146.84,144.67,144.76,3883200,143.84
2012-09-24,146.58,147.38,146.46,147.02,4001100,145.29
2012-09-21,148.07,148.08,147.17,147.17,2471400,145.44
2012-09-20,146.63,147.43,146.26,147.33,2822600,145.60
