Date,Open,High,Low,Close,Volume,Adj Close
2013-01-15,14.68,14.68,14.68,14.68,000,14.68
2013-01-14,14.73,14.73,14.73,14.73,000,14.73
2013-01-11,14.63,14.63,14.63,14.63,000,14.63
2013-01-10,14.67,14.67,14.67,14.67,000,14.67
2013-01-09,14.57,14.57,14.57,14.57,000,14.57
2013-01-08,14.50,14.50,14.50,14.50,000,14.50
2013-01-07,14.59,14.59,14.59,14.59,000,14.59
2013-01-04,14.66,14.66,14.66,14.66,000,14.66
2013-01-03,14.63,14.63,14.63,14.63,000,14.63
2013-01-02,14.61,14.61,14.61,14.61,000,14.61
2012-12-31,14.33,14.33,14.33,14.33,000,14.33
2012-12-28,14.14,14.14,14.14,14.14,000,14.14
2012-12-27,14.12,14.12,14.12,14.12,000,14.12
2012-12-26,14.08,14.08,14.08,14.08,000,14.08
2012-12-24,14.04,14.04,14.04,14.04,000,14.04
2012-12-21,14.05,14.05,14.05,14.05,000,14.05
2012-12-20,14.35,14.35,14.35,14.35,000,14.35
2012-12-19,14.25,14.25,14.25,14.25,000,14.25
2012-12-18,14.22,14.22,14.22,14.22,000,14.22
2012-12-17,14.07,14.07,14.07,14.07,000,14.07
2012-12-14,14.02,14.02,14.02,14.02,000,14.02
2012-12-13,13.98,13.98,13.98,13.98,000,13.98
2012-12-12,13.99,13.99,13.99,13.99,000,13.99
2012-12-11,13.94,13.94,13.94,13.94,000,13.94
2012-12-10,13.86,13.86,13.86,13.86,000,13.86
2012-12-07,13.82,13.82,13.82,13.82,000,13.82
2012-12-06,13.69,13.69,13.69,13.69,000,13.69
2012-12-05,13.64,13.64,13.64,13.64,000,13.64
2012-12-04,13.51,13.51,13.51,13.51,000,13.51
2012-12-03,13.51,13.51,13.51,13.51,000,13.51
2012-11-30,13.50,13.50,13.50,13.50,000,13.50
2012-11-29,13.53,13.53,13.53,13.53,000,13.53
2012-11-28,13.46,13.46,13.46,13.46,000,13.46
2012-11-27,13.42,13.42,13.42,13.42,000,13.42
2012-11-26,13.47,13.47,13.47,13.47,000,13.47
2012-11-23,13.53,13.53,13.53,13.53,000,13.53
2012-11-21,13.30,13.30,13.30,13.30,000,13.30
2012-11-20,13.29,13.29,13.29,13.29,000,13.29
2012-11-19,13.34,13.34,13.34,13.34,000,13.34
2012-11-16,13.10,13.10,13.10,13.10,000,13.10
2012-11-15,13.14,13.14,13.14,13.14,000,13.14
2012-11-14,13.14,13.14,13.14,13.14,000,13.14
2012-11-13,13.26,13.26,13.26,13.26,000,13.26
2012-11-12,13.34,13.34,13.34,13.34,000,13.34
2012-11-09,13.35,13.35,13.35,13.35,000,13.35
2012-11-08,13.33,13.33,13.33,13.33,000,13.33
2012-11-07,13.48,13.48,13.48,13.48,000,13.48
2012-11-06,13.70,13.70,13.70,13.70,000,13.70
2012-11-05,13.55,13.55,13.55,13.55,000,13.55
2012-11-02,13.50,13.50,13.50,13.50,000,13.50
2012-11-01,13.61,13.61,13.61,13.61,000,13.61
2012-10-31,13.40,13.40,13.40,13.40,000,13.40
2012-10-26,13.37,13.37,13.37,13.37,000,13.37
2012-10-25,13.47,13.47,13.47,13.47,000,13.47
2012-10-24,13.43,13.43,13.43,13.43,000,13.43
2012-10-23,13.37,13.37,13.37,13.37,000,13.37
2012-10-22,13.41,13.41,13.41,13.41,000,13.41
2012-10-19,13.41,13.41,13.41,13.41,000,13.41
2012-10-18,13.64,13.64,13.64,13.64,000,13.64
2012-10-17,13.66,13.66,13.66,13.66,000,13.66
2012-10-16,13.62,13.62,13.62,13.62,000,13.62
