Date,Open,High,Low,Close,Volume,Adj Close
2013-01-15,17.17,17.17,17.17,17.17,000,17.17
2013-01-14,17.20,17.20,17.20,17.20,000,17.20
2013-01-11,17.18,17.18,17.18,17.18,000,17.18
2013-01-10,17.18,17.18,17.18,17.18,000,17.18
2013-01-09,16.94,16.94,16.94,16.94,000,16.94
2013-01-08,16.86,16.86,16.86,16.86,000,16.86
2013-01-07,16.96,16.96,16.96,16.96,000,16.96
2013-01-04,17.03,17.03,17.03,17.03,000,17.03
2013-01-03,16.91,16.91,16.91,16.91,000,16.91
2013-01-02,17.09,17.09,17.09,17.09,000,17.09
2012-12-31,16.78,16.78,16.78,16.78,000,16.78
2012-12-28,16.59,16.59,16.59,16.59,000,16.59
2012-12-27,16.75,16.75,16.75,16.75,000,16.75
2012-12-26,16.68,16.68,16.68,16.68,000,16.68
2012-12-24,16.66,16.66,16.66,16.66,000,16.66
2012-12-21,16.71,16.71,16.71,16.71,000,16.71
2012-12-20,16.85,16.85,16.85,16.85,000,16.85
2012-12-19,16.71,16.71,16.71,16.71,000,16.71
2012-12-18,16.53,16.53,16.53,16.53,000,16.53
2012-12-17,16.53,16.53,16.53,16.53,000,16.53
2012-12-14,16.46,16.46,16.46,16.46,000,16.46
2012-12-13,16.37,16.37,16.37,16.37,000,16.37
2012-12-12,17.02,17.02,17.02,17.02,000,17.02
2012-12-11,16.95,16.95,16.95,16.95,000,16.95
2012-12-10,16.85,16.85,16.85,16.85,000,16.85
2012-12-07,16.85,16.85,16.85,16.85,000,16.85
2012-12-06,16.84,16.84,16.84,16.84,000,16.84
2012-12-05,16.82,16.82,16.82,16.82,000,16.82
2012-12-04,16.80,16.80,16.80,16.80,000,16.80
2012-12-03,16.72,16.72,16.72,16.72,000,16.72
2012-11-30,16.71,16.71,16.71,16.71,000,16.71
2012-11-29,16.70,16.70,16.70,16.70,000,16.70
2012-11-28,16.55,16.55,16.55,16.55,000,16.55
2012-11-27,16.42,16.42,16.42,16.42,000,16.42
2012-11-26,16.51,16.51,16.51,16.51,000,16.51
2012-11-23,16.57,16.57,16.57,16.57,000,16.57
2012-11-21,16.23,16.23,16.23,16.23,000,16.23
2012-11-20,16.17,16.17,16.17,16.17,000,16.17
2012-11-19,16.18,16.18,16.18,16.18,000,16.18
2012-11-16,15.85,15.85,15.85,15.85,000,15.85
2012-11-15,15.86,15.86,15.86,15.86,000,15.86
2012-11-14,15.82,15.82,15.82,15.82,000,15.82
2012-11-13,15.97,15.97,15.97,15.97,000,15.97
2012-11-12,16.01,16.01,16.01,16.01,000,16.01
2012-11-09,16.02,16.02,16.02,16.02,000,16.02
2012-11-08,16.04,16.04,16.04,16.04,000,16.04
2012-11-07,16.15,16.15,16.15,16.15,000,16.15
2012-11-06,16.42,16.42,16.42,16.42,000,16.42
2012-11-05,16.31,16.31,16.31,16.31,000,16.31
2012-11-02,16.31,16.31,16.31,16.31,000,16.31
2012-11-01,16.32,16.32,16.32,16.32,000,16.32
2012-10-31,16.32,16.32,16.32,16.32,000,16.32
2012-10-26,16.32,16.32,16.32,16.32,000,16.32
2012-10-25,16.33,16.33,16.33,16.33,000,16.33
2012-10-24,16.25,16.25,16.25,16.25,000,16.25
2012-10-23,16.22,16.22,16.22,16.22,000,16.22
2012-10-22,16.56,16.56,16.56,16.56,000,16.56
2012-10-19,16.48,16.48,16.48,16.48,000,16.48
2012-10-18,16.66,16.66,16.66,16.66,000,16.66
2012-10-17,16.72,16.72,16.72,16.72,000,16.72
2012-10-16,16.57,16.57,16.57,16.57,000,16.57
2012-10-15,16.31,16.31,16.31,16.31,000,16.31
2012-10-12,16.17,16.17,16.17,16.17,000,16.17
2012-10-11,16.19,16.19,16.19,16.19,000,16.19
2012-10-10,16.08,16.08,16.08,16.08,000,16.08
2012-10-09,16.14,16.14,16.14,16.14,000,16.14
2012-10-08,16.35,16.35,16.35,16.35,000,16.35
2012-10-05,16.45,16.45,16.45,16.45,000,16.45
2012-10-04,16.42,16.42,16.42,16.42,000,16.42
2012-10-03,16.25,16.25,16.25,16.25,000,16.25
2012-10-02,16.29,16.29,16.29,16.29,000,16.29
2012-10-01,16.27,16.27,16.27,16.27,000,16.27
2012-09-28,16.15,16.15,16.15,16.15,000,16.15
2012-09-27,16.44,16.44,16.44,16.44,000,16.44
2012-09-26,16.24,16.24,16.24,16.24,000,16.24
2012-09-25,16.41,16.41,16.41,16.41,000,16.41
2012-09-24,16.51,16.51,16.51,16.51,000,16.51
2012-09-21,16.58,16.58,16.58,16.58,000,16.58
2012-09-20,16.55,16.55,16.55,16.55,000,16.55
