Date,Open,High,Low,Close,Volume,Adj Close
2013-01-15,8.61,8.61,8.61,8.61,000,8.61
2013-01-14,8.61,8.61,8.61,8.61,000,8.61
2013-01-11,8.60,8.60,8.60,8.60,000,8.60
2013-01-10,8.60,8.60,8.60,8.60,000,8.60
2013-01-09,8.61,8.61,8.61,8.61,000,8.61
2013-01-08,8.60,8.60,8.60,8.60,000,8.60
2013-01-07,8.59,8.59,8.59,8.59,000,8.59
2013-01-04,8.58,8.58,8.58,8.58,000,8.58
2013-01-03,8.59,8.59,8.59,8.59,000,8.59
2013-01-02,8.60,8.60,8.60,8.60,000,8.60
2012-12-31,8.62,8.62,8.62,8.62,000,8.62
2012-12-28,8.62,8.62,8.62,8.62,000,8.60
2012-12-27,8.62,8.62,8.62,8.62,000,8.60
2012-12-26,8.60,8.60,8.60,8.60,000,8.58
2012-12-24,8.59,8.59,8.59,8.59,000,8.57
2012-12-21,8.60,8.60,8.60,8.60,000,8.58
2012-12-20,8.59,8.59,8.59,8.59,000,8.57
2012-12-19,8.59,8.59,8.59,8.59,000,8.57
2012-12-18,8.58,8.58,8.58,8.58,000,8.56
2012-12-17,8.59,8.59,8.59,8.59,000,8.57
2012-12-14,8.60,8.60,8.60,8.60,000,8.58
2012-12-13,8.60,8.60,8.60,8.60,000,8.58
2012-12-12,8.61,8.61,8.61,8.61,000,8.59
2012-12-11,8.61,8.61,8.61,8.61,000,8.59
2012-12-10,8.61,8.61,8.61,8.61,000,8.59
2012-12-07,8.61,8.61,8.61,8.61,000,8.59
2012-12-06,8.70,8.70,8.70,8.70,000,8.60
2012-12-05,8.70,8.70,8.70,8.70,000,8.60
2012-12-04,8.68,8.68,8.68,8.68,000,8.58
2012-12-03,8.68,8.68,8.68,8.68,000,8.58
2012-11-30,8.69,8.69,8.69,8.69,000,8.59
2012-11-29,8.68,8.68,8.68,8.68,000,8.56
2012-11-28,8.68,8.68,8.68,8.68,000,8.56
2012-11-27,8.67,8.67,8.67,8.67,000,8.55
2012-11-26,8.66,8.66,8.66,8.66,000,8.54
2012-11-23,8.66,8.66,8.66,8.66,000,8.54
2012-11-21,8.66,8.66,8.66,8.66,000,8.54
2012-11-20,8.66,8.66,8.66,8.66,000,8.54
2012-11-19,8.67,8.67,8.67,8.67,000,8.55
2012-11-16,8.68,8.68,8.68,8.68,000,8.56
2012-11-15,8.68,8.68,8.68,8.68,000,8.56
2012-11-14,8.68,8.68,8.68,8.68,000,8.56
2012-11-13,8.68,8.68,8.68,8.68,000,8.56
2012-11-12,8.68,8.68,8.68,8.68,000,8.56
2012-11-09,8.68,8.68,8.68,8.68,000,8.56
2012-11-08,8.68,8.68,8.68,8.68,000,8.56
2012-11-07,8.68,8.68,8.68,8.68,000,8.56
2012-11-06,8.67,8.67,8.67,8.67,000,8.55
2012-11-05,8.68,8.68,8.68,8.68,000,8.56
2012-11-02,8.66,8.66,8.66,8.66,000,8.54
2012-11-01,8.66,8.66,8.66,8.66,000,8.54
2012-10-31,8.66,8.66,8.66,8.66,000,8.54
2012-10-26,8.64,8.64,8.64,8.64,000,8.50
2012-10-25,8.63,8.63,8.63,8.63,000,8.49
2012-10-24,8.64,8.64,8.64,8.64,000,8.50
2012-10-23,8.64,8.64,8.64,8.64,000,8.50
2012-10-22,8.63,8.63,8.63,8.63,000,8.49
2012-10-19,8.64,8.64,8.64,8.64,000,8.50
2012-10-18,8.63,8.63,8.63,8.63,000,8.49
2012-10-17,8.63,8.63,8.63,8.63,000,8.49
2012-10-16,8.65,8.65,8.65,8.65,000,8.51
2012-10-15,8.66,8.66,8.66,8.66,000,8.52
2012-10-12,8.65,8.65,8.65,8.65,000,8.51
2012-10-11,8.64,8.64,8.64,8.64,000,8.50
2012-10-10,8.64,8.64,8.64,8.64,000,8.50
2012-10-09,8.64,8.64,8.64,8.64,000,8.50
2012-10-08,8.63,8.63,8.63,8.63,000,8.49
2012-10-05,8.63,8.63,8.63,8.63,000,8.49
2012-10-04,8.65,8.65,8.65,8.65,000,8.51
2012-10-03,8.65,8.65,8.65,8.65,000,8.51
2012-10-02,8.64,8.64,8.64,8.64,000,8.50
2012-10-01,8.64,8.64,8.64,8.64,000,8.50
2012-09-28,8.64,8.64,8.64,8.64,000,8.50
2012-09-27,8.63,8.63,8.63,8.63,000,8.48
2012-09-26,8.64,8.64,8.64,8.64,000,8.49
2012-09-25,8.62,8.62,8.62,8.62,000,8.47
2012-09-24,8.62,8.62,8.62,8.62,000,8.47
2012-09-21,8.61,8.61,8.61,8.61,000,8.46
2012-09-20,8.61,8.61,8.61,8.61,000,8.46
2012-09-19,8.61,8.61,8.61,8.61,000,8.46
2012-09-18,8.60,8.60,8.60,8.60,000,8.45
2012-09-17,8.59,8.59,8.59,8.59,000,8.44
2012-09-14,8.58,8.58,8.58,8.58,000,8.43
2012-09-13,8.60,8.60,8.60,8.60,000,8.45
2012-09-12,8.58,8.58,8.58,8.58,000,8.43
2012-09-11,8.60,8.60,8.60,8.60,000,8.45
2012-09-10,8.60,8.60,8.60,8.60,000,8.45
2012-09-07,8.60,8.60,8.60,8.60,000,8.45
2012-09-06,8.59,8.59,8.59,8.59,000,8.44
2012-09-05,8.61,8.61,8.61,8.61,000,8.46
2012-09-04,8.61,8.61,8.61,8.61,000,8.46
2012-08-31,8.61,8.61,8.61,8.61,000,8.46
2012-08-30,8.60,8.60,8.60,8.60,000,8.43
2012-08-29,8.59,8.59,8.59,8.59,000,8.42
2012-08-28,8.60,8.60,8.60,8.60,000,8.43
2012-08-27,8.59,8.59,8.59,8.59,000,8.42
2012-08-24,8.59,8.59,8.59,8.59,000,8.42
2012-08-23,8.59,8.59,8.59,8.59,000,8.42
2012-08-22,8.57,8.57,8.57,8.57,000,8.40
2012-08-21,8.55,8.55,8.55,8.55,000,8.38
2012-08-20,8.56,8.56,8.56,8.56,000,8.39
2012-08-17,8.56,8.56,8.56,8.56,000,8.39
2012-08-16,8.55,8.55,8.55,8.55,000,8.38
2012-08-15,8.55,8.55,8.55,8.55,000,8.38
2012-08-14,8.58,8.58,8.58,8.58,000,8.41
2012-08-13,8.59,8.59,8.59,8.59,000,8.42
2012-08-10,8.60,8.60,8.60,8.60,000,8.43
2012-08-09,8.59,8.59,8.59,8.59,000,8.42
2012-08-08,8.59,8.59,8.59,8.59,000,8.42
2012-08-07,8.59,8.59,8.59,8.59,000,8.42
2012-08-06,8.61,8.61,8.61,8.61,000,8.44
2012-08-03,8.60,8.60,8.60,8.60,000,8.43
2012-08-02,8.61,8.61,8.61,8.61,000,8.44
2012-08-01,8.60,8.60,8.60,8.60,000,8.43
2012-07-31,8.60,8.60,8.60,8.60,000,8.43
2012-07-30,8.59,8.59,8.59,8.59,000,8.40
2012-07-27,8.57,8.57,8.57,8.57,000,8.38
2012-07-26,8.58,8.58,8.58,8.58,000,8.39
2012-07-25,8.58,8.58,8.58,8.58,000,8.39
